"Name","Latitude","Longitude","Year","SL_mm","Inv_Bar_Contribution","Inv_Bar_Effects"
"NEW ROCHELLE",40.893333,-73.781667,1900,6885.82760955265,11.1438347646807,-235.465777212108
"NEW ROCHELLE",40.893333,-73.781667,1900.08333333333,6906.44213821137,18.4188797021806,-181.993412761424
"NEW ROCHELLE",40.893333,-73.781667,1900.16666666667,6910.2085996514,-1.68710340719493,-119.825298517312
"NEW ROCHELLE",40.893333,-73.781667,1900.25,6923.79557448189,-2.6476553446946,-24.1922647889984
"NEW ROCHELLE",40.893333,-73.781667,1900.33333333333,6969.88853089917,-6.36914428740331,58.3563686756897
"NEW ROCHELLE",40.893333,-73.781667,1900.41666666667,6981.57866175431,-7.25337641240241,58.1378847528231
"NEW ROCHELLE",40.893333,-73.781667,1900.5,6923.89842855289,-0.686651526986102,55.7339203933593
"NEW ROCHELLE",40.893333,-73.781667,1900.58333333333,6936.7249760339,-10.6280411155275,68.0260502344336
"NEW ROCHELLE",40.893333,-73.781667,1900.66666666667,6914.93865602702,-9.62673001136161,87.8214218811768
"NEW ROCHELLE",40.893333,-73.781667,1900.75,6944.37921756318,-33.9472584488611,14.1108089170231
"NEW ROCHELLE",40.893333,-73.781667,1900.83333333333,6898.08982824268,9.25541594176408,-59.3322764386239
"NEW ROCHELLE",40.893333,-73.781667,1900.91666666667,6945.66482116659,2.39787612926418,43.0852572544821
"NEW ROCHELLE",40.893333,-73.781667,1901,6983.67415853286,29.0626697646805,-35.800947807698
"NEW ROCHELLE",40.893333,-73.781667,1901.08333333333,6750.4086923407,53.3713331396803,-95.2538380602321
"NEW ROCHELLE",40.893333,-73.781667,1901.16666666667,6919.32341275448,17.8871409678051,73.2480481782548
"NEW ROCHELLE",40.893333,-73.781667,1901.25,7053.27276499492,4.35402684280513,155.817672473095
"NEW ROCHELLE",40.893333,-73.781667,1901.33333333333,7052.36230123884,25.8483863375973,18.6013177940605
"NEW ROCHELLE",40.893333,-73.781667,1901.41666666667,7010.13758692712,-6.39536141240291,19.1234141173587
"NEW ROCHELLE",40.893333,-73.781667,1901.5,6994.79259068518,8.61239691051345,46.2088705107851
"NEW ROCHELLE",40.893333,-73.781667,1901.58333333333,7024.06068846409,-3.77247017802815,24.0257860136462
"NEW ROCHELLE",40.893333,-73.781667,1901.66666666667,7033.20315702611,2.68936030113847,-3.95028638806583
"NEW ROCHELLE",40.893333,-73.781667,1901.75,6920.67653155113,-24.0303459488618,-15.0236751113961
"NEW ROCHELLE",40.893333,-73.781667,1901.83333333333,6965.03046935937,20.3435500042639,33.4760827961757
"NEW ROCHELLE",40.893333,-73.781667,1901.91666666667,7033.67201182765,-9.022116995736,-20.392431677502
"NEW ROCHELLE",40.893333,-73.781667,1902,6983.37010949102,-4.62763117281993,2.38911090718667
"NEW ROCHELLE",40.893333,-73.781667,1902.08333333333,6997.37496833239,56.4435553271802,56.0967455929464
"NEW ROCHELLE",40.893333,-73.781667,1902.16666666667,7101.15982318845,18.8174344053052,11.5140877678594
"NEW ROCHELLE",40.893333,-73.781667,1902.25,7001.87763526702,33.0594471553056,-48.0360076583985
"NEW ROCHELLE",40.893333,-73.781667,1902.33333333333,6939.85893433872,-3.85183397490335,-48.0965429429695
"NEW ROCHELLE",40.893333,-73.781667,1902.41666666667,6946.81583950868,22.5136820250972,-0.908049044096484
"NEW ROCHELLE",40.893333,-73.781667,1902.5,7008.76822166901,-7.30129433948615,17.0024186569424
"NEW ROCHELLE",40.893333,-73.781667,1902.58333333333,7008.4278251122,11.8319004469718,18.7635076475756
"NEW ROCHELLE",40.893333,-73.781667,1902.66666666667,7006.91416054026,-6.05399907386152,7.08416764306553
"NEW ROCHELLE",40.893333,-73.781667,1902.75,7063.96821350657,-4.31154469886167,13.0332527667192
